API,API ကို,
Accepted,လက်ခံထားတဲ့,
Accounts User,အသုံးပြုသူအကောင့်,
Action,action,
Actions,* Actions,
Active,active,
Actual Cost,အမှန်တကယ်ကုန်ကျစရိတ်,
Actual End Date,အမှန်တကယ် End Date ကို,
Actual Start Date,အမှန်တကယ် Start ကိုနေ့စွဲ,
All,အားလုံး,
Amended From,မှစ. ပြင်ဆင်,
Amount,ငွေပမာဏ,
Approved,Approved,
Archive,မော်ကွန်းတိုက်,
Archived,မော်ကွန်းတင်ထား,
Assigned To,ရန်တာဝန်ပေး,
Attachments,attachments,
Available,ရရှိနိုင်,
Brand,ကုန်အမှတ်တံဆိပ်,
Buying Price List,စျေးစာရင်းဝယ်ယူ,
Cancel,ပျက်စေ,
Canceled,ဖျက်သိမ်း,
Cancelled,ဖျက်သိမ်းခဲ့သည်,
Category,Category:,
Category Name,Category: အမည်,
Check,စစ်ဆေးခြင်း,
Client,ဖောက်သည်,
Close,ပိတ်,
Closed,ပိတ်ထားသော,
Color,အရောင်,
Comment,မှတ်ချက်,
Comments,comments,
Company,ကုမ္ပဏီ,
Complete,ပြည့်စုံသော,
Completed,ပြီးစီး,
Component,component,
Condition,condition,
Contact,ထိတှေ့,
Contact Email,ဆက်သွယ်ရန်အီးမေးလ်,
Contact Phone,ဆက်သွယ်ရန်ဖုန်း,
Conversion Rate,ပြောင်းလဲမှုနှုန်း,
Created On,တွင် Created,
Currency,ငှေကွေး,
Current Status,လက်ရှိအဆင့်အတန်း,
Custom,ထုံးစံဓလေ့,
Customer,ဝယ်သူ,
Customer ID,ဖောက်သည် ID,
Customer Name,ဖောက်သည်အမည်,
Customer Type,ဖောက်သည်အမျိုးအစား,
Data,ဒေတာ,
Date,နေ့စှဲ,
Default,ပျက်ကွက်,
Default Company,default ကုမ္ပဏီ,
Default Item Group,default Item Group က,
Default Priority,default ဦးစားပေး,
Default Source Warehouse,default Source ကိုဂိုဒေါင်,
Default Value,default တန်ဖိုး,
Defaults,Defaults ကို,
Delayed,နှောင့်နှေး,
Delivered,ကယ်နှုတ်တော်မူ၏,
Depends On,တွင်မူတည်,
Description,ဖေါ်ပြချက်,
Desk,စာရေးခုံ,
Discount (%),လျှော့စျေး (%),
Discount Amount,လျော့စျေးပမာဏ,
Discount Type,လျှော့စျေးအမျိုးအစား,
Document Name,စာရွက်စာတမ်းအမည်,
Document Type,စာရွက်စာတမ်းကအမျိုးအစား,
Draft,မူကြမ်း,
Due Date,သတ်မှတ်ချိန်းရက်,
Email,အီးမေး,
Email Address,အီးမေးလိပ်စာ,
Enabled,Enabled,
Error,အမှား,
Estimated Cost,ခန့်မှန်းခြေကုန်ကျစရိတ်,
Expected End Date,မျှော်လင့်ထားသည့်အဆုံးနေ့စွဲ,
Expected Start Date,မျှော်လင့်ထားသည့် Start ကိုနေ့စွဲ,
Expired,Expired,
Failed,Failed,
Field Type,field ကအမျိုးအစား,
First Name,နာမည်,
Float,မြော,
From Date,နေ့စွဲကနေ,
Full Name,နာမည်အပြည့်အစုံ,
Grand Total,စုစုပေါင်း,
Hidden,ဝှက်ထား,
High,မြင့်သော,
Hold,ကိုင်,
Hours,hours,
Idx,Idx,
In List View,List ကိုကြည့်ရန်အတွက်,
In Progress,ဆောင်ရွက်ဆဲဖြစ်သည်,
In Transit,အကူးအပြောင်းတွင်,
Inactive,မလှုပ်ရှားတတ်သော,
Inspected By,အားဖြင့်ကြည့်ရှုစစ်ဆေးသည်,
Inspection Type,စစ်ဆေးရေး Type,
Int,int,
Inventory,စာရင်း,
Is Active,Active ဖြစ်ပါတယ်,
Is Group,အုပ်စုဖြစ်ပါတယ်,
Issue,ထုတ်ပြန်သည်,
Issued,ထုတ်ပြန်သည်,
Item,အချက်,
Item Code,item Code ကို,
Item Name,item အမည်,
Items,items,
Key,သော့,
Keyboard Shortcuts,keyboard Shortcuts,
Lab Technician,ဓာတ်ခွဲခန်းပညာရှင်,
Last Active,ပြီးခဲ့သည့် Active ကို,
Last Name,မျိုးနွယ်အမည်,
Location,တည်ရှိမှု,
Logs,သစ်လုံး,
Lost,ဆုံးရှုံး,
Low,အနိမျ့,
Maintenance,ပြုပြင်ထိန်းသိမ်းမှု,
Manufacturer,လုပ်ငန်းရှင်,
Mappings,မြေပုံချထားပုံများ,
Medium,အလယ်အလတ်,
Method,နည်းလမ်း,
Model,ပုံစံ,
Modified By,အားဖြင့်ပြင်ဆင်ထားသော,
Name,နာမကို,
Naming Series,စီးရီးအမည်,
New,အသစ်,
Notes,မှတ်စုများ,
On Hold,ခေတ္တဆိုင်းငံထားသည်,
Open,ဖွင့်လှစ်,
Operation,စစ်ဆင်ရေး,
Other,အခြား,
Overdue,မပွေကုနျနသော,
Owner,ပိုင်ဆိုင်သူ,
Parameter,parameter,
Parent Task,မိဘ Task ကို,
Passed,သွားပြီ,
Pending,လာမည့်,
Pending Review,ဆိုင်းငံ့ထားပြန်လည်ဆန်းစစ်ခြင်း,
Percent Complete,ရာခိုင်နှုန်းကိုအပြီးအစီး,
Percentage,ရာခိုင်နှုန်း,
Phone,Phone များ,
Phone Number,ဖုန်းနံပါတ်,
Planning,စီမံကိန်း,
Portal,portal,
Posting Date,Post date,
Priority,ဦးစားပေး,
Progress,တိုးတက်ခြင်း,
Purchase,ဝယ်ခြမ်း,
Purchase Date,အရစ်ကျနေ့စွဲ,
Purchase Order,ကုန်ပစ္စည်းအမှာစာ,
Purchase Receipt,ဝယ်ယူခြင်း Receipt,
Qty,Qty,
Quantity,အရေအတွက်,
Rate,rate,
Rating,rating,
Read Only,သာလျှင် Read,
Reason,အကွောငျးရငျး,
Received,ရရှိထားသည့်,
Reference,အညွှန်း,
Reference DocType,ကိုးကားစရာ DOCTYPE,
Reference Doctype,ကိုးကားစရာ Doctype,
Reference Name,ကိုးကားစရာအမည်,
Rejected,ပယ်ချ,
Reload,Reload ကို,
Remarks,အမှာစကား,
Reopen,ပြန်ဖွင့်,
Resolve,ဖြေရှင်းပါ,
Resolved,ပြေ,
Restore,Restore,
Rounded Total,rounded စုစုပေါင်း,
SMS,စာတို,
Sales,အရောင်း,
Sales Manager,အရောင်းမန်နေဂျာ,
Sales User,အရောင်းအသုံးပြုသူတို့၏,
Scheduled,Scheduled,
Scheduled Date,Scheduled နေ့စွဲ,
Section,အပိုင်း,
Selling Price List,စျေးစာရင်းရောင်းချနေ,
Serial No,serial No,
Session Defaults,session Defaults ကို,
Setup,ပြငိဆငိခနိး,
Shipping,သင်္ဘောဖြင့်ကုန်ပစ္စည်းပို့ခြင်း,
Signature,လက်မှတ်,
Signed,လက်မှတ်ရေးထိုးခဲ့,
Signed On,တွင်လက်မှတ်ရေးထိုးခဲ့,
Small Text,အသေးစားစာသား,
Sold,ကိုရောင်းချ,
Source DocType,source DOCTYPE,
Source Warehouse,source ဂိုဒေါင်,
Standard,စံ,
Start,စတင်,
Status,အဆင့်အတန်း,
Stock Entry,စတော့အိတ် Entry &#39;,
Stock UOM,စတော့အိတ် UOM,
Student,ကြောငျးသား,
Subject,ဘာသာရပ်,
Submit,Submit,
Submitted,Submitted,
Subtotal,စုစုပေါင်း,
Suspended,ဆိုင်းငံ့,
System Manager,system Manager က,
Task,လုပ်ငန်း,
Task Description,task ကိုဖျေါပွခကျြ,
Task Name,Task Name,
Task Type,task ကိုအမျိုးအစား,
Tasks,Tasks ကို,
Template Name,template အမည်,
Terms,သက်မှတ်ချက်များ,
Text,စာသား,
Timestamp,Timestamp,
Title,ဘှဲ့,
To Date,ယနေ့အထိ,
Tools,Tools များ,
Total Cost,စုစုပေါင်းကုန်ကျစရိတ်,
Totals,စုစုပေါင်း,
Type,ပုံစံ,
UOM,UOM,
Unit,ယူနစ်,
Unknown,အမည်မသိ,
Unverified,အတည်မပြုနိုင်,
Urgent,အမြန်လိုသော,
Valid From,မှဖြစ်သည်,
Valid Till,မှီတိုငျအောငျသက်တမ်းရှိ,
Valid Upto,သက်တမ်းရှိ Upto,
Valuation Rate,အဘိုးပြတ် Rate,
Value,တန်ဖိုး,
Verification,verification,
Verified By,By Verified,
Version,version,
View Website,view ဝက်ဘ်ဆိုက်,
Warehouse,ကုနျလှောငျရုံ,
Warranty,အာမခံချက်,
Workflow State,အသွားအလာပြည်နယ်,
Working,အလုပ်အဖွဲ့,
